file,sku_main,old_skus,new_skus,passed
output_5342.txt,SET319-KR-NP-XXL,"['SET323-KR-NP-XXL', 'SET349-KR-NP-XXL']","['SET323-KR-NP-XXL', 'SET349-KR-NP-XXL']",True
output_5343.txt,SET435-KR-NP-L,['SET436-KR-NP-L'],['SET436-KR-NP-L'],True
output_5344.txt,J0192-TP-S,"['JNE3666-TP-S', 'J0044-TP-S', 'J0074-TP-S']","['JNE3666-TP-S', 'J0044-TP-S', 'J0074-TP-S']",True
output_5345.txt,J0190-TP-XS,"['J0036-TP-XS', 'J0165-TP-XS', 'J0310-TP-XS', 'J0048-TP-XS']","['J0036-TP-XS', 'J0165-TP-XS', 'J0310-TP-XS', 'J0048-TP-XS']",True
output_5346.txt,J0279-SET-S,[],[],True
output_5347.txt,SET128-KR-DH-XXL,[],[],True
output_5348.txt,J0072-KR-XS,"['J0070-KR-XS', 'J0026-KR-XS', 'JNE3762-KR-XS', 'JNE3627-KR-XS', 'J0028-KR-XS']","['J0070-KR-XS', 'JNE3482-KR-XS', 'J0149-KR-XS', 'J0026-KR-XS', 'J0028-KR-XS']",False
output_5349.txt,J0391-TP-XXL,[],[],True
output_535.txt,J0158-DR-XXXL,"['JNE3870-DR-XXXL', 'JNE3869-DR-XXXL', 'J0208-DR-XXXL']","['JNE3870-DR-XXXL', 'JNE3869-DR-XXXL', 'J0208-DR-XXXL']",True
output_5350.txt,J0389-TP-XS,['J0195-TP-XS'],['J0195-TP-XS'],True
output_5351.txt,J0251-SKD-XXXL,[],[],True
output_5352.txt,JNE3460-KR-XL,"['JNE3571-KR-XL', 'JNE3624-KR-XL', 'JNE3749-KR-XL', 'MEN5004-KR-XL', 'JNE3563-KR-XL']","['JNE3571-KR-XL', 'JNE3624-KR-XL', 'JNE3749-KR-XL', 'MEN5004-KR-XL', 'JNE3562-KR-XL']",False
output_5353.txt,SET224-KR-NP-XXXL,"['SET395-KR-NP-XXXL', 'SET404-KR-NP-XXXL', 'SET360-KR-NP-XXXL', 'SET358-KR-NP-XXXL']","['SET395-KR-NP-XXXL', 'SET404-KR-NP-XXXL', 'SET360-KR-NP-XXXL', 'SET358-KR-NP-XXXL']",True
output_5354.txt,SET192-KR-NP-XXXL,"['SET223-KR-NP-XXXL', 'SET048-KR-NP-XXXL', 'SET239-KR-NP-XXXL', 'SET409-KR-NP-XXXL', 'SET194-KR-NP-XXXL']","['SET223-KR-NP-XXXL', 'SET048-KR-NP-XXXL', 'SET239-KR-NP-XXXL', 'SET409-KR-NP-XXXL', 'SET194-KR-NP-XXXL']",True
output_5355.txt,SET404-KR-NP-M,[],[],True
output_5356.txt,SET376-KR-NP-XXXL,['SET410-KR-NP-XXXL'],['SET410-KR-NP-XXXL'],True
output_5357.txt,JNE3630-KR-S,"['JNE3718-KR-S', 'JNE3568-KR-S', 'JNE3567-KR-S', 'JNE3405-KR-S', 'J0033-KR-S']","['JNE3718-KR-S', 'JNE3568-KR-S', 'JNE3567-KR-S', 'JNE3405-KR-S', 'J0033-KR-S']",True
output_5358.txt,JNE3888-KR-XS,"['JNE3810-KR-XS', 'J0052-KR-XS', 'J0179-KR-XS']","['JNE3810-KR-XS', 'J0052-KR-XS', 'J0179-KR-XS']",True
output_5359.txt,J0374-KR-XXL,['JNE3578-KR-XXL'],['JNE3578-KR-XXL'],True
output_536.txt,MEN5026-KR-M,"['MEN5009-KR-M', 'MEN5011-KR-M', 'MEN5002-KR-M', 'MEN5001-KR-M', 'MEN5008-KR-M']","['MEN5009-KR-M', 'MEN5011-KR-M', 'MEN5002-KR-M', 'MEN5001-KR-M', 'MEN5008-KR-M']",True
output_5360.txt,JNE3631-DR-XS,"['JNE3707-DR-XS', 'J0062-DR-XS']","['JNE3707-DR-XS', 'J0062-DR-XS']",True
output_5361.txt,J0389-TP-XXXL,['J0195-TP-XXXL'],['J0195-TP-XXXL'],True
output_5362.txt,JNE3893-TP-M,"['JNE3891-TP-M', 'JNE3890-TP-M', 'J0198-TP-M', 'J0197-TP-M', 'J0390-TP-M']","['JNE3890-TP-M', 'JNE3891-TP-M', 'J0198-TP-M', 'J0197-TP-M', 'J0201-TP-M']",False
